firm_id,firm_size,industry,r_and_d_investment,market_access,subsidy,tech_adoption
1,511,Services,45487.99,Local,TRUE,5.346487712
2,366,Manufacturing,342923.65,Local,TRUE,5.917979502
3,383,Manufacturing,362974.26,National,TRUE,7.640740801
4,323,Manufacturing,280715.4,National,TRUE,7.12218745
5,989,Manufacturing,257431.8,Local,TRUE,5.414277952
6,99,Manufacturing,50532.58,International,TRUE,5.513691726
7,743,Services,294497.07,International,TRUE,7.197512393
8,18,Services,318177.82,Local,TRUE,5.568155345
9,596,Manufacturing,297473.83,International,TRUE,5.587384497
10,107,Services,364123.95,Local,TRUE,5.838071909
11,124,Tech,51350.33,International,FALSE,-0.924152424
12,570,Manufacturing,490468.21,National,TRUE,6.642919781
13,215,Tech,69477.56,National,TRUE,3.737733775
14,738,Manufacturing,64659.32,International,FALSE,1.021022813
15,97,Manufacturing,257844.08,National,TRUE,5.233441809
16,114,Services,228042.63,Local,TRUE,4.888431943
17,639,Manufacturing,99424.92,National,TRUE,5.934100542
18,48,Services,216063.99,Local,TRUE,6.673240904
19,74,Tech,435764.85,Local,TRUE,8.345162709
20,545,Services,380303.76,International,TRUE,6.257131297
21,943,Manufacturing,76791.53,National,TRUE,4.007244478
22,225,Manufacturing,97775.53,National,TRUE,3.917321954
23,112,Tech,280220.6,International,TRUE,7.228262701
24,410,Manufacturing,285537.12,Local,TRUE,7.089846037
25,340,Tech,221428.17,International,TRUE,4.891285507
26,847,Services,186676.87,International,TRUE,4.726260343
27,254,Tech,264143.84,National,TRUE,7.120358989
28,421,Manufacturing,211712.66,Local,TRUE,6.638924129
29,609,Manufacturing,24433.93,Local,TRUE,3.43587009
30,209,Services,36444.1,Local,TRUE,3.728960397
31,69,Tech,67344.43,International,TRUE,3.921292191
32,818,Tech,317950.58,International,FALSE,0.841164434
33,824,Tech,220435.22,International,TRUE,4.879835432
34,452,Manufacturing,73259.57,International,TRUE,3.541120241
35,3,Tech,192101.55,Local,TRUE,6.234873199
36,341,Manufacturing,389269.7,National,TRUE,6.028176072
37,40,Tech,373769.31,Local,TRUE,6.144301237
38,323,Manufacturing,43092.92,Local,TRUE,5.336893137
39,597,Services,356346.31,Local,TRUE,5.929271526
40,560,Services,166707.8,Local,TRUE,4.58353518
41,505,Services,490446.16,International,TRUE,6.849341691
42,958,Tech,86713.2,Local,TRUE,5.859258255
43,177,Manufacturing,110088.97,Local,TRUE,4.30567452
44,136,Tech,247025.3,National,TRUE,6.751213554
45,874,Tech,244139.32,Local,TRUE,6.686006539
46,100,Services,43194.89,National,TRUE,5.539031495
47,381,Tech,266822.68,Local,FALSE,2.315027198
48,861,Services,413618.18,Local,FALSE,1.383408748
49,181,Manufacturing,217432.13,International,FALSE,1.770545218
50,359,Tech,294783.18,National,TRUE,7.383660397
51,866,Services,378619.46,Local,TRUE,5.814189165
52,214,Services,203816.75,International,TRUE,6.599205737
53,631,Tech,238259.52,National,TRUE,6.862235084
54,863,Services,397482.71,Local,TRUE,8.192691748
55,412,Manufacturing,404384.26,International,TRUE,7.969385811
56,291,Tech,91719.12,Local,TRUE,3.919336899
57,994,Manufacturing,387357.18,National,TRUE,5.909341597
58,589,Tech,239982.87,National,FALSE,0.18171898
59,681,Manufacturing,463456.33,International,TRUE,6.552173411
60,900,Services,172087.91,Local,TRUE,4.519409018
61,107,Services,159421.6,National,TRUE,4.341284694
62,838,Services,247269.03,Local,TRUE,5.124825194
63,577,Services,463204.28,National,TRUE,6.692052397
64,844,Services,81093.74,International,TRUE,3.827903689
65,419,Services,343276.96,Local,TRUE,5.544808499
66,827,Manufacturing,405010.37,International,TRUE,8.230588091
67,395,Tech,434971.11,International,TRUE,6.255433431
68,791,Tech,53659.39,National,TRUE,3.777470146
69,718,Manufacturing,341011.89,International,TRUE,5.809338915
70,147,Manufacturing,310076.65,International,TRUE,5.525147285
71,485,Services,329507.91,Local,TRUE,5.450287854
72,272,Services,38225.58,Local,TRUE,3.573173705
73,412,Manufacturing,199053,International,TRUE,4.778310357
74,766,Manufacturing,369282.22,National,TRUE,7.835174649
75,159,Services,76566.91,Local,FALSE,-0.854186589
76,181,Tech,287870.16,International,TRUE,5.612598829
77,583,Manufacturing,21345.68,Local,TRUE,3.569216291
78,366,Services,18553.78,National,TRUE,5.343328917
79,372,Manufacturing,241652.1,National,TRUE,7.106599331
80,155,Services,423610.3,Local,TRUE,7.816224387
81,721,Services,444678.07,Local,TRUE,6.456204939
82,391,Manufacturing,157309.21,International,TRUE,4.295258329
83,783,Manufacturing,469995.34,Local,FALSE,3.749234338
84,256,Manufacturing,298278.85,International,FALSE,0.574137811
85,245,Manufacturing,58370.24,International,TRUE,5.484400953
86,360,Manufacturing,57207.84,Local,TRUE,3.732641569
87,972,Manufacturing,287149.41,National,TRUE,5.343816778
88,951,Manufacturing,380801.95,International,TRUE,5.923652623
89,968,Manufacturing,78162.69,International,TRUE,4.062610224
90,130,Manufacturing,192512.35,Local,FALSE,1.678111296
91,556,Manufacturing,494331.91,Local,TRUE,6.688355057
92,187,Manufacturing,452377.57,National,TRUE,8.170754262
93,358,Services,181977.29,Local,FALSE,-0.274392696
94,696,Services,249331.75,International,TRUE,5.183391826
95,538,Manufacturing,306927.42,Local,TRUE,5.692147532
96,435,Manufacturing,13495.95,International,TRUE,3.564936503
97,981,Manufacturing,40710.97,Local,TRUE,5.375849008
98,825,Tech,331794.14,Local,TRUE,5.593075875
99,306,Services,87968.8,Local,FALSE,1.114197234
100,781,Tech,455929.71,Local,TRUE,6.635037845
101,531,Services,203598.22,National,TRUE,4.771654782
102,466,Tech,240009.56,International,TRUE,5.071535578
103,514,Services,308735.6,National,TRUE,5.357429256
104,52,Tech,412445.01,Local,TRUE,6.26286407
105,941,Tech,245751.74,National,TRUE,4.852831525
106,886,Services,130974.81,Local,TRUE,4.21947958
107,746,Services,207150.06,International,TRUE,4.965648205
108,305,Services,110218.09,International,TRUE,4.057080242
109,57,Manufacturing,387611.18,National,TRUE,7.954981404
110,988,Services,68287.63,National,TRUE,3.97162831
111,946,Manufacturing,492393.26,International,TRUE,6.745657697
112,343,Tech,135716.95,Local,TRUE,4.22128156
113,516,Tech,204061.2,Local,TRUE,4.778044848
114,68,Services,323822.56,International,TRUE,5.720606375
115,140,Services,306427.52,National,TRUE,5.480500035
116,662,Manufacturing,454454.76,Local,TRUE,6.538929162
117,474,Services,479616.71,Local,TRUE,8.781951713
118,616,Manufacturing,280253.64,International,TRUE,5.34554698
119,490,Services,193694.28,National,FALSE,-0.010125559
120,355,Manufacturing,313889.55,Local,TRUE,5.532161193
121,4,Tech,172208.21,National,TRUE,4.621551107
122,908,Manufacturing,59220.85,National,TRUE,5.628020904
123,260,Manufacturing,36796.6,National,FALSE,-1.042123053
124,756,Manufacturing,458394.67,Local,TRUE,6.573558833
125,223,Services,272567.35,National,TRUE,5.187036343
126,263,Services,110646.69,Local,TRUE,5.82528713
127,266,Services,287780.29,International,TRUE,5.379821942
128,88,Tech,478885.42,Local,TRUE,6.65875752
129,15,Services,131658.13,Local,TRUE,4.318551516
130,999,Manufacturing,310877.9,International,TRUE,5.658690562
131,468,Manufacturing,264837.27,Local,FALSE,0.444856482
132,890,Services,36754.73,Local,TRUE,5.35166396
133,199,Services,259569.2,International,TRUE,5.044315918
134,141,Tech,11119.4,International,TRUE,5.313355067
135,439,Manufacturing,101092.95,Local,TRUE,3.851103635
136,540,Tech,387034.33,Local,TRUE,5.939128823
137,807,Tech,173855.51,Local,TRUE,4.635964991
138,402,Services,148268.59,International,TRUE,4.408918507
139,958,Services,200633.85,Local,FALSE,0.087140773
140,879,Manufacturing,288986.23,Local,TRUE,5.475364763
141,843,Services,286529.75,National,TRUE,7.082139017
142,868,Manufacturing,100545.36,National,TRUE,4.17812395
143,629,Manufacturing,61957.27,Local,TRUE,3.693534337
144,100,Tech,372606.82,International,TRUE,5.853991183
145,194,Services,401788.98,International,TRUE,6.077591899
146,816,Services,408803.17,Local,TRUE,6.127895544
147,494,Manufacturing,493176.48,International,TRUE,6.831109071
148,17,Tech,389641.19,Local,TRUE,8.037472034
149,646,Services,392819.66,Local,TRUE,6.077067431
150,361,Services,440647.22,International,TRUE,6.233943756
151,110,Services,432809.91,Local,TRUE,8.22548613
152,87,Services,210807.17,International,TRUE,4.785460155
153,47,Services,158959.75,National,TRUE,6.299082149
154,272,Tech,490477.56,Local,TRUE,8.471886506
155,316,Services,422036.97,National,TRUE,6.36682528
156,297,Manufacturing,391990.06,Local,TRUE,6.121361783
157,410,Tech,341009.61,International,TRUE,5.721964027
158,302,Services,388737.89,National,TRUE,7.715345315
159,434,Manufacturing,161893.96,National,TRUE,6.159689025
160,769,Tech,374913.41,National,TRUE,7.794375961
161,420,Services,79185.47,National,TRUE,4.015016586
162,926,Services,283824.95,International,TRUE,5.601840612
163,386,Manufacturing,127249.29,Local,TRUE,5.911477888
164,980,Services,381842.08,International,TRUE,5.779778452
165,837,Tech,413460.43,National,TRUE,6.169222324
166,927,Services,61618.88,Local,TRUE,3.958095834
167,904,Tech,317209.63,National,TRUE,7.321419282
168,862,Manufacturing,229034.45,National,TRUE,4.984413656
169,487,Manufacturing,457235.02,Local,TRUE,6.53672174
170,61,Tech,383524.1,National,TRUE,6.181592831
171,322,Tech,180612.09,National,TRUE,4.551342898
172,885,Manufacturing,450249.53,International,TRUE,6.611917483
173,767,Tech,434002.36,National,TRUE,6.493536673
174,973,Services,427616.37,National,TRUE,8.23239913
175,324,Manufacturing,454725.02,International,TRUE,6.586917509
176,813,Manufacturing,193819.19,National,TRUE,6.68858651
177,820,Tech,146957,International,TRUE,4.255917364
178,648,Tech,348294.11,International,TRUE,5.975375105
179,999,Tech,16357.55,International,TRUE,3.317190182
180,89,Tech,25145.63,Local,TRUE,5.328261782
181,967,Manufacturing,35643.85,National,TRUE,3.825330408
182,142,Services,65337.21,International,TRUE,5.621913073
183,413,Manufacturing,376203.53,International,TRUE,5.837911628
184,365,Manufacturing,447005.11,International,TRUE,8.305674285
185,320,Services,478713.75,Local,TRUE,8.576953518
186,341,Tech,478564.08,National,TRUE,6.804340149
187,933,Tech,244255.08,National,TRUE,5.073963212
188,632,Manufacturing,460960.1,National,TRUE,8.534956484
189,497,Tech,110262.39,International,TRUE,4.034105805
190,481,Manufacturing,347162.81,National,TRUE,7.556570702
191,378,Manufacturing,100439.96,International,TRUE,3.886056099
192,425,Tech,289139.54,National,TRUE,7.017691875
193,473,Tech,160745.7,National,TRUE,4.472033781
194,885,Tech,427940.26,National,TRUE,6.468063104
195,763,Tech,205030.88,Local,TRUE,4.843866785
196,960,Tech,160868.72,Local,FALSE,-0.162958198
197,59,Services,450709.86,National,TRUE,6.243896246
198,494,Tech,185722.5,National,TRUE,4.712271831
199,78,Services,188090.43,National,TRUE,6.229764687
200,9,Manufacturing,403697.43,National,TRUE,7.969401839
201,207,Manufacturing,109065.45,International,TRUE,6.141056816
202,391,Tech,465387.62,Local,TRUE,6.574465049
203,66,Services,443437.19,National,TRUE,6.664193563
204,223,Tech,184958.97,Local,TRUE,6.599807279
205,199,Tech,167680.07,International,TRUE,4.624191845
206,553,Manufacturing,72232.73,Local,TRUE,5.550324355
207,888,Manufacturing,415632.15,National,FALSE,1.706011015
208,971,Tech,149787.71,National,FALSE,-0.53812087
209,77,Services,393160.31,International,TRUE,6.146069766
210,461,Manufacturing,144135.76,National,TRUE,4.437897776
211,666,Manufacturing,258984.09,National,TRUE,7.084032009
212,491,Manufacturing,434556.96,National,TRUE,6.537418058
213,636,Services,437605.31,National,TRUE,8.220529258
214,498,Services,448861.54,National,TRUE,8.222011093
215,136,Services,190649.67,Local,TRUE,4.628966972
216,782,Manufacturing,437001.74,International,TRUE,8.405275706
217,429,Manufacturing,299467.77,Local,TRUE,7.202432331
218,764,Manufacturing,387330.93,National,TRUE,6.205188044
219,258,Services,174266.77,International,TRUE,4.369478446
220,760,Services,75757.46,International,TRUE,6.133223523
221,682,Services,318213.24,Local,TRUE,5.536114286
222,207,Manufacturing,117025.13,International,TRUE,4.051065234
223,441,Manufacturing,405329.37,Local,FALSE,1.722267995
224,472,Manufacturing,232634.51,National,TRUE,4.753467877
225,576,Tech,424182.99,Local,TRUE,8.185974849
226,482,Tech,20954.46,Local,TRUE,3.286557786
227,516,Services,27888.1,Local,TRUE,3.487348667
228,18,Services,29024.79,National,TRUE,3.611360784
229,89,Manufacturing,373197.78,Local,TRUE,5.843247879
230,751,Services,369079.77,International,TRUE,5.844169008
231,216,Services,335009.65,Local,TRUE,5.706321691
232,198,Manufacturing,464875.24,International,TRUE,6.6090458
233,610,Manufacturing,420408.78,International,TRUE,6.560278068
234,563,Services,367152.48,National,TRUE,7.576022993
235,358,Tech,302792.09,Local,TRUE,5.694345197
236,131,Manufacturing,329802.17,Local,TRUE,5.511786657
237,659,Tech,358046.03,International,TRUE,5.703133209
238,815,Services,330195.6,International,TRUE,5.739836781
239,558,Services,246822.44,International,TRUE,5.005851622
240,954,Manufacturing,225784.16,Local,TRUE,4.644899904
241,932,Tech,391600.3,National,TRUE,6.112719278
242,531,Services,11567.65,Local,TRUE,3.737485269
243,476,Tech,63280.35,International,TRUE,3.721686973
244,687,Services,277925.2,National,TRUE,5.290163673
245,951,Services,244418.54,National,TRUE,5.135384662
246,504,Tech,71325.07,Local,TRUE,3.810960148
247,74,Services,470006.53,Local,TRUE,8.274909343
248,978,Tech,389508.67,International,TRUE,7.947762754
249,575,Tech,182331.09,National,TRUE,6.363541835
250,708,Manufacturing,383188.2,National,TRUE,5.883948447
251,652,Services,331651.36,Local,TRUE,5.79174073
252,411,Manufacturing,285327.83,National,TRUE,5.664844108
253,93,Tech,302433.09,Local,FALSE,2.626848251
254,460,Services,95379.78,National,TRUE,5.842523916
255,907,Services,422367.94,Local,TRUE,6.314889833
256,900,Tech,460690.16,International,TRUE,6.582179874
257,558,Tech,91388.16,International,FALSE,-0.912097879
258,635,Services,379687.9,National,TRUE,8.029998746
259,443,Tech,489478,Local,TRUE,6.795081746
260,188,Manufacturing,494014.03,Local,TRUE,6.741935966
261,408,Services,396056.81,International,TRUE,6.060130719
262,282,Tech,220563.88,Local,TRUE,6.804502054
263,796,Manufacturing,71001.96,National,TRUE,5.572117728
264,442,Manufacturing,129207.62,International,TRUE,4.149990269
265,623,Tech,69848.88,International,TRUE,3.91243017
266,508,Tech,442922.49,International,FALSE,1.483396099
267,260,Manufacturing,281751.68,National,TRUE,5.362094417
268,612,Services,280782.85,Local,TRUE,5.166974426
269,719,Tech,196103.69,Local,TRUE,4.993325712
270,342,Services,24425.66,National,TRUE,3.740749292
271,956,Tech,337159.5,Local,TRUE,7.616422789
272,503,Tech,88843.54,National,TRUE,3.907869681
273,433,Tech,264097,International,TRUE,5.149606906
274,313,Tech,280936.41,National,TRUE,7.225713253
275,984,Manufacturing,348322.42,International,TRUE,5.956779135
276,856,Services,146017.11,International,TRUE,6.098013076
277,613,Services,217200.59,Local,TRUE,6.545563363
278,901,Services,285082.87,Local,FALSE,2.312092936
279,326,Tech,183113.28,Local,TRUE,6.465137434
280,113,Manufacturing,187826.71,Local,TRUE,6.369419837
281,313,Services,87844.39,Local,TRUE,3.89844584
282,573,Tech,118254.94,Local,TRUE,5.863383197
283,650,Tech,184993.88,Local,FALSE,1.592413507
284,195,Tech,60997.07,International,FALSE,-0.972702453
285,998,Services,447015.3,International,TRUE,8.481596623
286,674,Manufacturing,224407.46,National,TRUE,4.961600476
287,70,Services,378643.24,Local,FALSE,2.904767588
288,637,Services,237132.16,National,TRUE,6.652665947
289,394,Services,130375.19,Local,TRUE,4.203398213
290,208,Tech,218547.94,Local,TRUE,4.716134052
291,252,Manufacturing,461953.41,International,TRUE,8.512280867
292,541,Manufacturing,499349.67,International,TRUE,6.984834824
293,323,Manufacturing,304350.63,National,FALSE,2.474072478
294,11,Services,325316.04,International,TRUE,5.447071358
295,741,Tech,434823.21,National,TRUE,8.351341063
296,772,Services,460762.76,Local,TRUE,6.699566522
297,945,Services,205811.11,Local,TRUE,6.439264694
298,772,Tech,146077,Local,TRUE,6.256692914
299,792,Manufacturing,361094.5,International,TRUE,7.626858772
300,732,Tech,325976.52,International,FALSE,0.935923688
